,frequency,index,word
0,-13.41892986628964,0,<start>
1,0.0,1,a
2,-0.40458832048276183,2,.
3,-1.5154837405970694,3,on
4,-1.5730311361082252,4,of
5,-1.6120073106348676,5,the
6,-1.6749958602820645,6,in
7,-1.8624565253919256,7,with
8,-1.9634428543666786,8,and
9,-2.3008115082400558,9,is
10,-2.5874601932897727,10,man
11,-2.669144953699891,11,to
12,-2.91880603357441,12,sitting
13,-2.977400435194281,13,an
14,-3.0021397601126276,14,two
15,-3.123197543816202,15,standing
16,-3.134372362480068,16,at
17,-3.1364238556603308,17,people
18,-3.166124366268348,18,are
19,-3.204361147873499,19,","
20,-3.2743016857376466,20,next
21,-3.3004922374678296,21,white
22,-3.343297363411117,22,woman
23,-3.472813951697888,23,street
24,-3.4779057102247855,24,table
25,-3.561276850097311,25,that
26,-3.566525103982827,26,holding
27,-3.6256478810745376,27,it
28,-3.668535219887336,28,person
29,-3.6817330534749386,29,large
30,-3.682087391162458,30,some
31,-3.7227125159114305,31,down
32,-3.7907347885593694,32,top
33,-3.7955531207089743,33,group
34,-3.834271115202129,34,field
35,-3.853716172321352,35,up
36,-3.8814463529807623,36,small
37,-3.9083367646878235,37,near
38,-3.9090776701080987,38,tennis
39,-3.935133129125658,39,his
40,-3.9400137916014124,40,black
41,-3.9476878373966446,41,front
42,-3.96949385678532,42,plate
43,-3.971779752235432,43,train
44,-3.974387315642513,44,room
45,-3.9778746775029283,45,riding
46,-3.988490573185472,46,dog
47,-4.045026110448091,47,young
48,-4.046300591269738,48,red
49,-4.052269740058502,49,by
50,-4.061463429423163,50,cat
51,-4.083720512267587,51,water
52,-4.093298449978722,52,baseball
53,-4.187611087928265,53,walking
54,-4.188198804665722,54,playing
55,-4.200323749896424,55,has
56,-4.207490098870156,56,bathroom
57,-4.211995287448289,57,while
58,-4.2613575598521125,58,sign
59,-4.279655942747317,59,blue
60,-4.287091722468414,60,food
61,-4.288715538792742,61,kitchen
62,-4.309404799552273,62,grass
63,-4.324673973334258,63,bus
64,-4.336650164380974,64,there
65,-4.348886579852179,65,pizza
66,-4.350844541894328,66,parked
67,-4.367233587753055,67,green
68,-4.4042394813187435,68,building
69,-4.408260689442524,69,snow
70,-4.408871376484404,70,side
71,-4.414998846636501,71,looking
72,-4.415982735536434,72,bed
73,-4.422277886856911,73,other
74,-4.448243597754656,74,beach
75,-4.451680683437362,75,ball
76,-4.456666312172878,76,couple
77,-4.478824653161517,77,three
78,-4.4811859293471965,78,boy
79,-4.490687188471337,79,men
80,-4.495605122222077,80,for
81,-4.530449018566824,81,flying
82,-4.539179067776514,82,toilet
83,-4.548266861883618,83,city
84,-4.56841224454292,84,road
85,-4.574449347829262,85,skateboard
86,-4.59116849863492,86,clock
87,-4.592048522159006,87,player
88,-4.598821221781032,88,out
89,-4.602669657555057,89,game
90,-4.606681848092208,90,wearing
91,-4.614604753727102,91,her
92,-4.6347676440191625,92,laying
93,-4.635380389136373,93,over
94,-4.6418369834340725,94,several
95,-4.643843931232373,95,girl
96,-4.671418919811192,96,from
97,-4.681316829480789,97,sits
98,-4.6842088623448275,98,wooden
99,-4.704526505585696,99,bear
100,-4.712605026150898,100,through
101,-4.716419609099649,101,picture
102,-4.719081840289327,102,their
103,-4.720749341092584,103,around
104,-4.721584135364287,104,bench
105,-4.730644600030996,105,eating
106,-4.734190403661602,106,laptop
107,-4.74884392877026,107,cake
108,-4.752454972157647,108,area
109,-4.759716414852973,109,horse
110,-4.765982753895782,110,brown
111,-4.774399426412207,111,yellow
112,-4.79073211683049,112,giraffe
113,-4.790911119784517,113,board
114,-4.794138664275383,114,sink
115,-4.79899959742229,115,one
116,-4.8040656476999555,116,computer
117,-4.804247053596145,117,phone
118,-4.805881189229881,118,frisbee
119,-4.83314388340779,119,outside
